name,salary,area_name,published_at
Applications Engineer   (Job# 257161),,Нижний Новгород,2003-07-16 11:17:11+04:00
Консультант по внедрению (Oracle E-Business Suite),61228.0,Москва,2003-10-27 00:00:00+03:00
"Консультант-разработчик (Developer 2000/6i (Forms, Reports)",30381.0,Москва,2003-07-16 18:31:53+04:00
Install Engineer   (Job# 220879),,Нижний Новгород,2003-07-16 20:32:37+04:00
Intel Tools Business Development Manager   (Job# 257157),,Нижний Новгород,2003-07-16 20:36:55+04:00
Release Manager   (Job# 260050),,Нижний Новгород,2003-07-16 20:41:57+04:00
НАЧАЛЬНИК ПРОЕКТНОГО ОТДЕЛА (СЛАБОТОЧНЫЕ СИСТЕМЫ),,Санкт-Петербург,2003-07-17 10:07:35+04:00
"БИЗНЕС АНАЛИТИК ИНФОРМАЦИОННЫХ СИСТЕМ, АРХИТЕКТОР БАЗ ДАННЫХ",30381.0,Москва,2003-07-17 11:25:13+04:00
Главный специалист отдела эксплуатации и технического обслуживания,,Москва,2003-10-06 00:00:00+04:00
Специалист отдела эксплуатации и технического обслуживания Управления информационной техники и связи,,Москва,2003-10-06 00:00:00+04:00
Системный администратор,24305.0,Москва,2003-07-17 15:47:04+04:00
Специалист отдела труда и заработной платы.,36737.0,Москва,2003-10-06 00:00:00+04:00
Business Development Manager,,Москва,2003-10-06 00:00:00+04:00
Pre-Sales Manager,,Москва,2003-10-06 00:00:00+04:00
Sales Manager,,Москва,2003-10-06 00:00:00+04:00
Sales Manager (Oil and Gas),,Москва,2003-10-06 00:00:00+04:00
Sales Manager (Government),,Москва,2003-10-06 00:00:00+04:00
Senior CAD Engineer   (Job# 253952),,Москва,2003-07-17 20:03:13+04:00
